species,genus,family,forest_affinity
Anelasmocephalus_cambridgei,Anelasmocephalus,Trogulidae,Strong
Homalenotus_quadridentatus,Homalenotus,Sclerosomatidae,weak
Lacinius_ephippiatus,Lacinius,Phalangiidae,Strong-open
Leiobunum_spec.,Leiobunum,Sclerosomatidae,NA
Lophopilio_palpinalis,Lophopilio,Phalangiidae,Strong
Mitostoma_chrysomelas,Mitostoma,Nemastomatidae,Strong
Nemastomatidae_spec.,Nemastomatidae,Nemastomatidae,NA
Nemastoma_bimaculatum,Nemastoma,Nemastomatidae,Strong
Nemastoma_dentigerum,Nemastoma,Nemastomatidae,Strong-open
Nemastoma_lugubre,Nemastoma,Nemastomatidae,Strong
Nemastoma_spec.,Nemastoma,Nemastomatidae,NA
Oligolophus_tridens,Oligolophus,Phalangiidae,Moderate
Paranemastoma_quadripunctatum,Paranemastoma,Nemastomatidae,Strong-closed
Paroligolophus_agrestis,Paroligolophus,Phalangiidae,Moderate
Phalangiidae_spec.,Phalangiidae,Phalangiidae,NA
Phalangium_opilio,Phalangium,Phalangiidae,None
Rilaena_triangularis,Rilaena,Phalangiidae,strong-open
Trogulus_closaniscus,Trogulus,Trogulidae,Moderate
